Source,Target,Type,Category,Kind,Sub-kind,Text ID,Time-slot,Language,Material,Relation to archive
PER_37_180548_183705,PER_53862_73544_73598,Directed,Economic,Service,Scribe,TM_121,115-88 BCE,Greek,Papyrus,Certain
PER_37_180548_183705,PER_18713,Directed,Economic,Service,Scribe,TM_121,115-88 BCE,Greek,Papyrus,Certain
PER_53862_73544_73598,PER_18713,Directed,Economic,Loan,Grain,TM_121,115-88 BCE,Greek,Papyrus,Certain
PER_37_180548_183705,PER_19146,Directed,Economic,Service,Scribe,TM_122,115-88 BCE,Greek,Papyrus,Certain
PER_37_180548_183705,PER_53862_73544_73598,Directed,Economic,Service,Scribe,TM_122,115-88 BCE,Greek,Papyrus,Certain
PER_53862_73544_73598,PER_19146,Directed,Economic,Loan,Grain,TM_122,115-88 BCE,Greek,Papyrus,Certain
PER_73_242437_351540,PER_53862_73544_73598,Directed,Economic,Service,Scribe,TM_123,115-88 BCE,Greek,Papyrus,Certain
PER_73_242437_351540,PER_15041,Directed,Economic,Service,Scribe,TM_123,115-88 BCE,Greek,Papyrus,Certain
PER_53862_73544_73598,PER_15041,Directed,Economic,Loan,Wine,TM_123,115-88 BCE,Greek,Papyrus,Certain
PER_338817,PER_53862_73544_73598,Directed,Economic,Service,Taking measurements,TM_123,115-88 BCE,Greek,Papyrus,Certain
PER_338817,PER_15041,Directed,Economic,Service,Taking measurements,TM_123,115-88 BCE,Greek,Papyrus,Certain
PER_7769,PER_8170_78233_160275_242017,Directed,Economic,Loan,Money,TM_124,115-88 BCE,Greek,Papyrus,Certain
PER_7769,PER_19150,Directed,Economic,Loan,Money,TM_124,115-88 BCE,Greek,Papyrus,Certain
PER_8170_78233_160275_242017,PER_19150,Undirected,Economic,Collaboration,Loan together,TM_124,115-88 BCE,Greek,Papyrus,Certain
PER_70_242438_351541,PER_7769,Directed,Economic,Service,Scribe,TM_124,115-88 BCE,Greek,Papyrus,Certain
PER_70_242438_351541,PER_8170_78233_160275_242017,Directed,Economic,Service,Scribe,TM_124,115-88 BCE,Greek,Papyrus,Certain
PER_70_242438_351541,PER_19150,Directed,Economic,Service,Scribe,TM_124,115-88 BCE,Greek,Papyrus,Certain
PER_400,PER_19152,Directed,Economic,Service,Scribe,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_400,PER_359_11831_73600,Directed,Economic,Service,Scribe,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_19152,PER_359_11831_73600,Directed,Economic,Land sale,House,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_377,PER_367,Undirected,Economic,Collaboration,Own land together,TM_125,115-88 BCE,Greek,Papyrus,Certain
PER_19298,PER_19156,Undirected,Economic,Collaboration,Sell together,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19298,PER_53862_73544_73598,Directed,Economic,Land sale,Land/Plot,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19156,PER_53862_73544_73598,Directed,Economic,Land sale,Land/Plot,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19299,PER_19298,Directed,Economic,Service,Kyrios,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_19299,PER_19156,Directed,Economic,Service,Kyrios,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_37_180548_183705,PER_19156,Directed,Economic,Service,Scribe,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_37_180548_183705,PER_19298,Directed,Economic,Service,Scribe,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_37_180548_183705,PER_53862_73544_73598,Directed,Economic,Service,Scribe,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_118_12385,PER_327,Undirected,Economic,Collaboration,Own land together,TM_126,115-88 BCE,Greek,Papyrus,Certain
PER_8170_78233_160275_242017,PER_160276,Directed,Economic,Land sale,House,TM_127,115-88 BCE,Greek,Papyrus,Certain
PER_73_242437_351540,PER_8170_78233_160275_242017,Directed,Economic,Service,Scribe,TM_127,115-88 BCE,Greek,Papyrus,Certain
PER_73_242437_351540,PER_160276,Directed,Economic,Service,Scribe,TM_127,115-88 BCE,Greek,Papyrus,Certain
PER_122,PER_121,Directed,Economic,Service,Verification,TM_127,115-88 BCE,Greek,Papyrus,Certain
PER_160276,PER_123_292979,Directed,Economic,Payment,Sales tax,TM_127,115-88 BCE,Greek,Papyrus,Certain
PER_123_292979,PER_160276,Directed,Economic,Service,Scribe,TM_127,115-88 BCE,Greek,Papyrus,Certain
PER_121,PER_160276,Directed,Economic,Service,Tax report,TM_127,115-88 BCE,Greek,Papyrus,Certain
PER_121,PER_123_292979,Directed,Economic,Service,Tax report,TM_127,115-88 BCE,Greek,Papyrus,Certain
PER_19302_242253_242250,PER_8170_78233_160275_242017,Directed,Economic,Land sale,Land/Plot,TM_128,115-88 BCE,Greek,Papyrus,Certain
PER_73_242437_351540,PER_19302_242253_242250,Directed,Economic,Service,Scribe,TM_128,115-88 BCE,Greek,Papyrus,Certain
PER_73_242437_351540,PER_8170_78233_160275_242017,Directed,Economic,Service,Scribe,TM_128,115-88 BCE,Greek,Papyrus,Certain
PER_8170_78233_160275_242017,PER_275,Directed,Economic,Payment,Sales tax,TM_128,115-88 BCE,Greek,Papyrus,Certain
PER_275,PER_8170_78233_160275_242017,Directed,Economic,Service,Scribe,TM_128,115-88 BCE,Greek,Papyrus,Certain
PER_276,PER_275,Directed,Economic,Service,Tax report,TM_128,115-88 BCE,Greek,Papyrus,Certain
PER_276,PER_8170_78233_160275_242017,Directed,Economic,Service,Tax report,TM_128,115-88 BCE,Greek,Papyrus,Certain
PER_378_65566_75620,PER_53862_73544_73598,Directed,Economic,Cession (?),Land/Plot,TM_129,115-88 BCE,Greek,Papyrus,Uncertain
PER_61,PER_378_65566_75620,Directed,Economic,Service,Scribe,TM_129,115-88 BCE,Greek,Papyrus,Uncertain
PER_61,PER_53862_73544_73598,Directed,Economic,Service,Scribe,TM_129,115-88 BCE,Greek,Papyrus,Uncertain
PER_380,PER_378_65566_75620,Undirected,Economic,Service,Kyrios,TM_129,115-88 BCE,Greek,Papyrus,Uncertain
PER_8170_78233_160275_242017,PER_53862_73544_73598,Undirected,Economic,Service,Kyrios,TM_129,115-88 BCE,Greek,Papyrus,Uncertain
PER_53862_73544_73598,PER_408,Directed,Economic,Payment,Sales tax,TM_129,115-88 BCE,Greek,Papyrus,Uncertain
PER_314,PER_322,Undirected,Economic,Collaboration,Own land together,TM_129,115-88 BCE,Greek,Papyrus,Uncertain
PER_53861_54564_73592_73595_73602_76408,PER_6715,Directed,Economic,Loan,Grain,TM_130,Unknown,Demotic,Papyrus,Certain
PER_5893,PER_53862_73544_73598,Directed,Economic,Land sale,Land/Plot,TM_131,115-88 BCE,Greek,Papyrus,Certain
PER_55,PER_5893,Directed,Economic,Service,Scribe,TM_131,115-88 BCE,Greek,Papyrus,Certain
PER_55,PER_53862_73544_73598,Directed,Economic,Service,Scribe,TM_131,115-88 BCE,Greek,Papyrus,Certain
PER_53862_73544_73598,PER_408,Directed,Economic,Payment,Sales tax,TM_131,115-88 BCE,Greek,Papyrus,Certain
PER_53862_73544_73598,PER_5893,Directed,Economic,Loan,Grain,TM_131,115-88 BCE,Greek,Papyrus,Certain
PER_408,PER_53862_73544_73598,Directed,Economic,Service,Scribe,TM_131,115-88 BCE,Greek,Papyrus,Certain
PER_55,PER_5893,Directed,Economic,Service,Scribe,TM_132,115-88 BCE,Demotic,Papyrus,Certain
PER_55,PER_53862_73544_73598,Directed,Economic,Service,Scribe,TM_132,115-88 BCE,Demotic,Papyrus,Certain
PER_5893,PER_53862_73544_73598,Directed,Economic,Land sale,Land/Plot,TM_132,115-88 BCE,Demotic,Papyrus,Certain
PER_55,PER_5893,Directed,Economic,Service,Scribe,TM_133,115-88 BCE,Greek,Papyrus,Certain
PER_55,PER_53862_73544_73598,Directed,Economic,Service,Scribe,TM_133,115-88 BCE,Greek,Papyrus,Certain
PER_5893,PER_53862_73544_73598,Directed,Economic,Return of loan,Grain,TM_133,115-88 BCE,Greek,Papyrus,Certain
PER_398_00398_73649_75696_160705,PER_8170_78233_160275_242017,Directed,Economic,Inheritance,House,TM_134,140-116 BCE,Demotic,Papyrus,Certain
PER_398_00398_73649_75696_160705,PER_73648,Directed,Economic,Inheritance,Money,TM_134,140-116 BCE,Demotic,Papyrus,Certain
PER_73648,PER_8170_78233_160275_242017,Undirected,Economic,Agreement,N/A,TM_134,140-116 BCE,Demotic,Papyrus,Certain
PER_163_116635,PER_398_00398_73649_75696_160705,Directed,Economic,Service,Scribe,TM_134,140-116 BCE,Demotic,Papyrus,Certain
PER_163_116635,PER_8170_78233_160275_242017,Directed,Economic,Service,Scribe,TM_134,140-116 BCE,Demotic,Papyrus,Certain
PER_163_116635,PER_73648,Directed,Economic,Service,Scribe,TM_134,140-116 BCE,Demotic,Papyrus,Certain
PER_8170_78233_160275_242017,PER_395_697,Directed,Economic,Payment,Sales tax,TM_134,140-116 BCE,Greek,Papyrus,Certain
PER_121,PER_256,Undirected,Economic,Collaboration,Tax report,TM_134,140-116 BCE,Greek,Papyrus,Certain
PER_257,PER_121,Directed,Economic,Service,Verification,TM_134,140-116 BCE,Greek,Papyrus,Certain
