Id,Lable,Name,Sex
PER_75622,PER_75622,Pa-sena,Male
PER_75623_75627_75629_75630,PER_75623_75627_75629_75630,Ouonsis,Male
PER_75624,PER_75624,Pates,Male
PER_79381,PER_79381,Chesthotes,Male
PER_75625,PER_75625,Pa-sena,Male
PER_75626,PER_75626,Senesis,Female
PER_79382,PER_79382,Patous,Male
PER_75623_75627_75629_75630,PER_75623_75627_75629_75630,Ouonsis,Male
PER_75628,PER_75628,Pates,Male
PER_79383,PER_79383,Pelaias,Male
PER_75623_75627_75629_75630,PER_75623_75627_75629_75630,Ouonsis,Male
PER_75623_75627_75629_75630,PER_75623_75627_75629_75630,Ouonsis,Male
PER_75631,PER_75631,Siepmous,Male
PER_13686_51674,PER_13686_51674,Stotoetis,Male
PER_51675_73514,PER_51675_73514,Peteharoeris,Male
PER_15930,PER_15930,NN,Male
PER_73515,PER_73515,Pais,Male
PER_73516,PER_73516,Harsiesis,Male
PER_73517,PER_73517,Chesthotes,Male
PER_78205,PER_78205,Peteesis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_10656,PER_10656,Nechtminis,Male
PER_73519,PER_73519,Thotortaios,Male
PER_10686,PER_10686,Nechoutes,Male
PER_73520,PER_73520,Pates,Male
PER_167_10657_75681,PER_167_10657_75681,Nechtminis,Male
PER_168,PER_168,Nechtminis,Male
PER_7784,PER_7784,Herieus,Male
PER_73522,PER_73522,Nechtminis,Male
PER_12127,PER_12127,Petesouchos,Male
PER_73523,PER_73523,Nechtminis,Male
PER_11960_51668,PER_11960_51668,Peteharpres,Male
PER_51669_73524,PER_51669_73524,Pakebkis,Male
PER_9150,PER_9150,Thotsytmis,Male
PER_73525,PER_73525,Pakebkis,Male
PER_15071,PER_15071,Psenminis,Male
PER_11277,PER_11277,Pakebkis,Male
PER_73526,PER_73526,Peteharsomtous,Male
PER_14903,PER_14903,Chesthotes,Male
PER_73527,PER_73527,Peteharsomtous,Male
PER_13538,PER_13538,Sisouchos,Male
PER_73528,PER_73528,Peteharsomtous,Male
PER_13541,PER_13541,Sisouchos,Male
PER_73529,PER_73529,Onnophris,Male
PER_11015,PER_11015,Onnophris,Male
PER_73530,PER_73530,Sisouchos,Male
PER_15063,PER_15063,Psenminis,Male
PER_125924,PER_125924,Onnophris,Male
PER_13539,PER_13539,Sisouchos,Male
PER_73532,PER_73532,Onnophris,Male
PER_13544,PER_13544,Sisouchos,Male
PER_13540,PER_13540,Sisouchos,Male
PER_73533,PER_73533,Pelaias,Male
PER_11676,PER_11676,Patseous,Male
PER_73534,PER_73534,Sisouchos,Male
PER_13542,PER_13542,Sisouchos,Male
PER_73535,PER_73535,NN,Male
PER_11939,PER_11939,Peteharoeris,Male
PER_73536,PER_73536,Pates,Male
PER_14905,PER_14905,Chesthotes,Male
PER_73537,PER_73537,Sisouchos,Male
PER_11841,PER_11841,Pelaias,Male
PER_73538,PER_73538,Sisouchos,Male
PER_13579,PER_13579,Sokominis,Male
PER_73539,PER_73539,Esnebonychos,Male
PER_8014,PER_8014,Esnebonychos,Male
PER_8332,PER_8332,Esminis,Male
PER_125943,PER_125943,NN,Male
PER_12893,PER_12893,Ptolemaios IX Philometor Soter II Physkon,Male
PER_117916,PER_117916,Nechoutis,Female
PER_117915,PER_117915,Pates,Male
PER_117918,PER_117918,Nechtminis,Male
PER_117917,PER_117917,Nechoutes,Male
PER_117920,PER_117920,Kollauthis,Male
PER_117919,PER_117919,NN,Male
ID_9,ID_9,Ta-…,Female
PER_11981,PER_11981,Peteharsomtous,Male
PER_65607,PER_65607,Petesouchos,Male
PER_65608,PER_65608,Sensouchis,Male
PER_65596,PER_65596,Takoibis,Female
PER_72278,PER_72278,Petearensnouphis,Male
PER_72777,PER_72777,Ta-shouti,Female
PER_222_64893_73113_75668_75672_79411_117843_297462_351313_430889,PER_222_64893_73113_75668_75672_79411_117843_297462_351313_430889,Peteharsomtous,Male
PER_223_11272_62895_70046_75676_77898_77921_79405_116633_117840_117842_331095_351314_430888,PER_223_11272_62895_70046_75676_77898_77921_79405_116633_117840_117842_331095_351314_430888,Pakebkis,Male
PER_48588,PER_48588,Harsiesis,Male
PER_48589,PER_48589,Sochotes,Male
PER_55,PER_55,Ammonios alias Pakebkis,Male
PER_47_19305_54204_69378,PER_47_19305_54204_69378,Areios alias Pelaias (????????),Male
PER_48592_49598_51302,PER_48592_49598_51302,Sisouchos,Male
PER_48593_49599_51303,PER_48593_49599_51303,Psenminis,Male
PER_48594,PER_48594,Peteharsomtous,Male
PER_48595,PER_48595,Nechoutes,Male
PER_48596,PER_48596,Petesouchos,Male
PER_48597,PER_48597,Nechtminis,Male
PER_48598,PER_48598,Pakebkis,Male
PER_48599,PER_48599,Sochotes,Male
PER_48600,PER_48600,Petosiris,Male
PER_48601,PER_48601,Harsiesis,Male
PER_48602,PER_48602,NN,Male
PER_48603,PER_48603,Porieuthes,Male
PER_48604,PER_48604,Peteharsomtous,Male
PER_48605,PER_48605,NN,Male
PER_48606,PER_48606,Peteharsomtous,Male
PER_48607,PER_48607,Pakebkis,Male
PER_48608,PER_48608,Teos,Male
PER_48609,PER_48609,Sisouchos,Male
PER_48610,PER_48610,Nechoutes,Male
PER_48611,PER_48611,Pelaias,Male
PER_48612,PER_48612,Patseous,Male
PER_48613,PER_48613,Phibis,Male
PER_48614,PER_48614,Sisouchos,Male
PER_48615,PER_48615,Patous,Male
PER_48616,PER_48616,Phibis,Male
PER_48617,PER_48617,Pakebkis,Male
PER_48618,PER_48618,Pelaias,Male
PER_48619,PER_48619,Psenminis,Male
PER_63465,PER_63465,Eunomos,Male
PER_63466,PER_63466,Herianoupis,Male
PER_69382,PER_69382,Thotsytmis,Male
PER_359_11831_73600,PER_359_11831_73600,Pelaias,Male
ID_7,ID_7,Peteharsemtheus,Male
ID_8,ID_8,Peteharpres,Male
